x1,x2,Y
1,100,800.6346822560176
2,99,802.2661443031008
3,98,801.7504386236587
4,97,777.9642453657293
5,96,777.9389177632028
6,95,781.427213755402
7,94,768.5185430928738
8,93,774.4971784805361
9,92,762.4470335257901
10,91,761.804964373341
11,90,746.2721762103429
12,89,751.5454111932165
13,88,739.9544634879366
14,87,734.5662941345289
15,86,732.8041065600701
16,85,730.8763724413897
17,84,719.7995981238271
18,83,710.2943776384267
19,82,707.8130962266323
20,81,707.6881858726413
21,80,696.7820846445653
22,79,692.9814099622158
23,78,694.9850141268104
24,77,692.1389619673901
25,76,689.0005245098735
26,75,688.4295129220818
27,74,679.6746050978093
28,73,663.2818499238468
29,72,667.5367132585617
30,71,658.700724227663
31,70,656.138345773039
32,69,649.3421442873838
33,68,637.0065052433047
34,67,632.5523220379231
35,66,634.7017029704658
36,65,630.1894184490858
37,64,624.474476369865
38,63,616.5822683770988
39,62,613.2826008066489
40,61,597.399616895181
41,60,600.4153349053867
42,59,598.7228376037418
43,58,595.8957546745507
44,57,589.6599580217257
45,56,582.9798813718528
46,55,578.2347667894519
47,54,569.9285699072309
48,53,578.0298631224356
49,52,565.9012557988177
50,51,547.9138696435882
51,50,549.5947091202581
52,49,556.339193955498
53,48,534.3734362918836
54,47,537.1200115732568
55,46,530.7388064124515
56,45,524.0950744281917
57,44,534.4978051046376
58,43,522.2283338356557
59,42,508.4556945483221
60,41,512.3367425746568
61,40,503.2061022066247
62,39,494.19094606865474
63,38,495.72808563014615
64,37,486.4476546530521
65,36,483.7475087444754
66,35,488.68954880605787
67,34,473.7773122949104
68,33,478.21897161091795
69,32,468.5144490969878
70,31,458.19241368360457
71,30,450.3742166373768
72,29,453.3187578785993
73,28,438.77078147598144
74,27,432.5112720215289
75,26,428.67815976497315
76,25,428.2507168879386
77,24,425.5459224810165
78,23,421.1912200640764
79,22,417.3620882895163
80,21,410.53026748768764
81,20,400.1344670057297
82,19,396.4506432439197
83,18,384.0823066225202
84,17,382.6926947999055
85,16,379.6768623429636
86,15,382.3968169928208
87,14,373.269342378059
88,13,368.44453291442954
89,12,361.94065599401324
90,11,344.9505177828777
91,10,357.7716427891727
92,9,348.44917282545106
93,8,340.53542355122835
94,7,333.478839005541
95,6,336.8089779858448
96,5,323.1793251032971
97,4,322.6715036800857
98,3,319.94176717394316
99,2,313.2582019945155
100,1,312.3209041135305
