x1,x2,Y
1,100,803.1155667367215
2,99,792.8945113804543
3,98,797.4174947302731
4,97,789.2860609754748
5,96,783.780953842058
6,95,783.0365347023867
7,94,769.398372172935
8,93,764.8163019686154
9,92,764.6686306771632
10,91,754.6608457461864
11,90,749.1457608992541
12,89,737.069548673465
13,88,743.2067429510214
14,87,736.6735943642367
15,86,736.2120569217648
16,85,725.8850115437243
17,84,720.0672741322653
18,83,708.4216783918325
19,82,715.4949890176966
20,81,700.7531379013817
21,80,704.1756853460195
22,79,704.9585488820019
23,78,694.1925158647477
24,77,685.3672712152829
25,76,681.6632226945952
26,75,682.0477490011052
27,74,668.4812416143111
28,73,672.4309001461818
29,72,667.917770580471
30,71,658.5174643989075
31,70,655.936309561202
32,69,647.2246735347886
33,68,642.0869408953815
34,67,631.6465865816414
35,66,636.6944885662372
36,65,628.7804563620494
37,64,627.4264257407534
38,63,621.9378404209763
39,62,611.4277383329386
40,61,602.751504621229
41,60,609.229297869448
42,59,597.7233356450456
43,58,589.8328865810658
44,57,589.8402506157357
45,56,586.0472966507101
46,55,569.8497396741391
47,54,566.9868483432506
48,53,562.1385625102589
49,52,566.2396984419546
50,51,566.9290253517479
51,50,560.5558890298493
52,49,549.5634317114634
53,48,549.8784647384088
54,47,539.2900317493858
55,46,535.5537339918674
56,45,527.4125084294215
57,44,521.9479825400813
58,43,532.0583745121754
59,42,509.50680557720483
60,41,508.54431008373075
61,40,501.7427651853901
62,39,493.267737698785
63,38,503.70869402215635
64,37,492.8927217565269
65,36,478.2359505448304
66,35,477.3775479396321
67,34,468.49471217022887
68,33,468.86131242553563
69,32,465.4072926188472
70,31,460.69273194392713
71,30,451.18534144265186
72,29,451.51457562099336
73,28,440.16726810836
74,27,438.2044317590757
75,26,428.68367089084643
76,25,424.009660321271
77,24,421.0480396718148
78,23,415.26180974893333
79,22,409.3877429533775
80,21,408.28595522728784
81,20,410.780519652801
82,19,391.87113234996144
83,18,393.8793377252741
84,17,384.8752173159495
85,16,389.9810658755259
86,15,382.4600274651745
87,14,378.01996423293883
88,13,369.6114323831397
89,12,369.97554262860245
90,11,362.26532625411545
91,10,349.8488103709849
92,9,341.92333994355306
93,8,341.1934141535358
94,7,333.2360429892541
95,6,332.96361304014977
96,5,333.49937907894207
97,4,305.590146708503
98,3,323.61525719514196
99,2,308.9012630424571
100,1,309.61975655141055
